"","total.seagrass","Turf.algae","total.sponges","other.inverts","corals","Unconsolidated","Consolidated","Macroalgae","dominant","Latitude","Longitude","Transect.id","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"22",20,0,0,0,0,72,0,8,"Unconsolidated",-33.59441333,115.216135,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"23",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59441167,115.2161083,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"24",44,0,0,0,0,44,0,8,"total.seagrass",-33.594405,115.2160817,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"25",56,0,0,0,0,44,0,0,"total.seagrass",-33.59440167,115.2160583,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"26",8,0,0,0,0,40,0,52,"Macroalgae",-33.59439833,115.2160367,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"27",64,0,0,0,0,36,0,0,"total.seagrass",-33.594385,115.2160133,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"28",28,0,0,0,0,36,0,36,"Unconsolidated",-33.59437833,115.2159917,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"29",28,0,0,0,0,36,0,36,"Unconsolidated",-33.59437833,115.21596,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"30",8,0,0,0,0,56,0,36,"Unconsolidated",-33.59437833,115.2159317,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"31",20,0,0,0,0,76,4,0,"Unconsolidated",-33.59437667,115.2159133,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"32",4,0,0,0,0,76,4,16,"Unconsolidated",-33.59436833,115.21589,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"33",16,0,0,0,0,84,0,0,"Unconsolidated",-33.594355,115.21587,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"34",8,0,0,0,0,84,4,4,"Unconsolidated",-33.59435667,115.2158517,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"35",4,0,0,0,0,72,0,24,"Unconsolidated",-33.59434833,115.2158233,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"36",0,0,0,0,0,80,0,20,"Unconsolidated",-33.59434167,115.2157967,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"37",16,0,0,0,0,40,0,44,"Macroalgae",-33.59433833,115.21577,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"38",0,0,0,0,0,60,0,40,"Unconsolidated",-33.59433667,115.2157417,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"39",0,0,0,0,0,64,0,36,"Unconsolidated",-33.59433333,115.215715,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"40",0,0,0,0,0,72,0,28,"Unconsolidated",-33.59433333,115.215685,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"41",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59433667,115.2156667,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"42",0,0,0,0,0,88,0,12,"Unconsolidated",-33.59434167,115.2156467,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"43",0,0,0,0,0,96,0,4,"Unconsolidated",-33.59435,115.2156183,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"44",4,0,0,0,0,84,4,8,"Unconsolidated",-33.59435333,115.2155867,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"45",16,0,0,0,0,56,0,28,"Unconsolidated",-33.59435167,115.2155667,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"46",40,0,0,0,0,56,0,4,"Unconsolidated",-33.59435,115.2155433,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"47",28,0,0,0,0,44,4,24,"Unconsolidated",-33.59434667,115.2155167,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"48",8,0,0,0,0,72,4,16,"Unconsolidated",-33.59434,115.2154917,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"49",64,0,0,0,0,32,0,4,"total.seagrass",-33.59434,115.2154683,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"50",16,0,0,0,0,48,12,24,"Unconsolidated",-33.59434,115.2154417,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"51",36,0,0,0,0,60,0,4,"Unconsolidated",-33.59434,115.215415,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"52",36,0,0,0,0,52,0,12,"Unconsolidated",-33.594345,115.2153917,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"53",32,0,0,0,0,56,4,8,"Unconsolidated",-33.59434833,115.215355,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"54",64,0,0,0,0,24,0,12,"total.seagrass",-33.59435333,115.2153267,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"55",36,0,0,0,0,36,0,28,"total.seagrass",-33.59435333,115.2153,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"56",36,0,0,0,0,36,0,28,"total.seagrass",-33.59435333,115.215265,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"57",44,0,0,0,0,36,0,20,"total.seagrass",-33.59435333,115.2152417,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"58",0,0,0,0,0,60,0,40,"Unconsolidated",-33.59435,115.2152183,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"59",8,0,0,0,0,80,0,12,"Unconsolidated",-33.59434667,115.21519,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"60",16,0,0,0,0,64,0,20,"Unconsolidated",-33.59434833,115.215155,"HPZ.2",-16,0.183969989418983,0.183969989418983,350.332305908203,350.332305908203,0.125,0.625,2,64
"61",8,0,0,0,0,64,0,28,"Unconsolidated",-33.59434667,115.2151217,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"62",20,0,0,0,0,56,0,24,"Unconsolidated",-33.59433833,115.2150917,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"63",12,0,0,0,0,80,0,8,"Unconsolidated",-33.59433,115.21507,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"64",16,0,0,0,0,64,0,20,"Unconsolidated",-33.594325,115.215045,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"65",12,0,0,0,0,60,0,28,"Unconsolidated",-33.59431667,115.21502,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"66",0,0,0,0,0,68,0,32,"Unconsolidated",-33.59431167,115.2149883,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"67",0,0,0,0,0,48,4,48,"Unconsolidated",-33.59430667,115.2149633,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"68",24,0,0,0,0,60,0,16,"Unconsolidated",-33.59430167,115.2149283,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"69",40,0,0,0,0,44,0,16,"Unconsolidated",-33.594305,115.2148983,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"70",80,0,0,0,0,20,0,0,"total.seagrass",-33.5943,115.2148683,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"71",36,0,0,0,0,20,0,44,"Macroalgae",-33.59429667,115.214845,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"72",40,0,0,0,0,8,8,44,"Macroalgae",-33.59429167,115.2148233,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"73",40,0,0,0,0,32,0,28,"total.seagrass",-33.59428333,115.21479,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"74",32,0,0,0,0,44,0,24,"Unconsolidated",-33.59427833,115.2147617,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"75",68,0,0,0,0,8,0,24,"total.seagrass",-33.594275,115.2147367,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"76",64,0,0,0,0,0,0,36,"total.seagrass",-33.59427333,115.2147133,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"77",12,0,0,0,0,24,0,64,"Macroalgae",-33.59427167,115.214695,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"78",16,0,0,0,0,44,0,36,"Unconsolidated",-33.59427333,115.2146667,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"79",0,0,0,0,0,64,0,36,"Unconsolidated",-33.59426667,115.214635,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"80",0,0,0,0,0,72,0,28,"Unconsolidated",-33.59426167,115.2146133,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"81",12,0,0,0,0,60,0,28,"Unconsolidated",-33.59425667,115.21459,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"82",0,0,0,0,0,56,0,44,"Unconsolidated",-33.594255,115.2145633,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"83",0,0,0,0,0,24,0,76,"Macroalgae",-33.59425333,115.21454,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"84",0,0,0,0,0,72,0,28,"Unconsolidated",-33.59425167,115.2145067,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"85",4,0,0,0,0,76,0,20,"Unconsolidated",-33.59425333,115.2144717,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"86",0,0,0,0,0,84,0,16,"Unconsolidated",-33.594255,115.2144467,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"87",0,0,0,0,0,56,0,40,"Unconsolidated",-33.59425167,115.2144183,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"88",12,0,0,0,0,68,0,20,"Unconsolidated",-33.59425,115.2144033,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"89",16,0,0,0,0,36,0,48,"Macroalgae",-33.59425,115.2143733,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"90",24,0,0,0,0,16,0,60,"Macroalgae",-33.594255,115.2143533,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"91",76,0,0,0,0,20,0,4,"total.seagrass",-33.59425667,115.2143233,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"92",0,0,0,0,0,16,0,84,"Macroalgae",-33.594255,115.214295,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"93",0,0,0,0,0,52,0,48,"Unconsolidated",-33.594255,115.214275,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"94",0,0,4,0,0,64,0,32,"Unconsolidated",-33.59425667,115.214255,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"95",16,0,0,0,0,48,0,36,"Unconsolidated",-33.59425833,115.2142217,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"96",16,0,0,0,0,28,0,56,"Macroalgae",-33.59425333,115.214205,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"97",20,0,0,0,0,24,0,56,"Macroalgae",-33.59424833,115.2141817,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"98",44,0,0,0,0,48,0,8,"Unconsolidated",-33.59424167,115.2141583,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"99",0,0,0,0,0,36,0,64,"Macroalgae",-33.594235,115.2141433,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"100",0,0,0,0,0,40,0,60,"Macroalgae",-33.59422333,115.2141133,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"101",12,0,0,0,0,48,0,40,"Unconsolidated",-33.59421167,115.214085,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"102",24,0,0,0,0,52,0,24,"Unconsolidated",-33.594215,115.2140567,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"103",24,0,0,0,0,48,0,28,"Unconsolidated",-33.59421167,115.2140317,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"104",0,0,0,0,0,68,0,32,"Unconsolidated",-33.59421167,115.21401,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"105",0,0,0,0,0,76,0,24,"Unconsolidated",-33.59421833,115.21399,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"106",0,0,0,0,0,56,0,44,"Unconsolidated",-33.59421833,115.2139683,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"107",16,0,0,0,0,48,0,28,"Unconsolidated",-33.59422167,115.21394,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"108",20,0,0,0,0,64,0,16,"Unconsolidated",-33.59421667,115.2139133,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"109",12,0,0,0,0,28,0,60,"Macroalgae",-33.59421333,115.2138817,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"110",64,0,0,0,0,36,0,0,"total.seagrass",-33.59421333,115.2138433,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"111",32,0,0,0,0,16,0,52,"Macroalgae",-33.59421333,115.2138167,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"112",44,0,0,0,0,24,0,32,"total.seagrass",-33.59421,115.2137833,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"113",12,0,0,0,0,40,0,48,"Macroalgae",-33.59420667,115.21375,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"114",52,0,0,0,0,32,0,16,"total.seagrass",-33.59420167,115.2137133,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"115",4,0,0,0,0,68,0,28,"Unconsolidated",-33.59418667,115.21368,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"116",44,0,0,0,0,8,0,48,"Macroalgae",-33.59418,115.21365,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"117",40,0,0,0,0,4,0,56,"Macroalgae",-33.59416833,115.2136333,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"118",76,0,0,0,0,16,0,8,"total.seagrass",-33.59415,115.2136083,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"119",20,0,0,0,0,20,0,60,"Macroalgae",-33.59414667,115.213585,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"120",48,0,0,0,0,24,0,28,"total.seagrass",-33.59413,115.2135633,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"121",52,0,0,0,0,12,0,36,"total.seagrass",-33.59411833,115.2135333,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"122",20,0,0,0,0,8,0,72,"Macroalgae",-33.594105,115.2135083,"HPZ.2",-16,0.159283548593521,0.159283548593521,324.4169921875,324.4169921875,0.375,0.625,2,16
"123",28,0,0,0,0,60,0,12,"Unconsolidated",-33.58551667,115.2094517,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"124",28,0,0,0,0,60,0,12,"Unconsolidated",-33.58551,115.20948,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"125",0,0,0,0,0,4,0,96,"Macroalgae",-33.585505,115.2095117,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"126",92,4,0,0,0,4,0,0,"total.seagrass",-33.58550167,115.209545,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"127",40,0,0,0,0,20,0,40,"total.seagrass",-33.58550667,115.2095733,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"128",56,0,0,0,0,28,0,16,"total.seagrass",-33.58550667,115.209605,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"129",36,0,0,0,0,52,0,12,"Unconsolidated",-33.585505,115.209635,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"130",8,0,0,0,0,76,0,16,"Unconsolidated",-33.5855,115.20967,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"131",0,0,0,0,0,100,0,0,"Unconsolidated",-33.58549833,115.2097117,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"132",0,0,0,0,0,96,0,4,"Unconsolidated",-33.58550167,115.209745,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"133",4,0,0,0,0,76,0,20,"Unconsolidated",-33.58549667,115.2097717,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"134",24,0,0,0,0,68,0,8,"Unconsolidated",-33.58549,115.209805,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"135",56,4,0,0,0,24,0,16,"total.seagrass",-33.58547667,115.2098417,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"136",100,0,0,0,0,0,0,0,"total.seagrass",-33.58547,115.2098733,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"137",0,0,0,0,0,8,0,92,"Macroalgae",-33.58546667,115.209905,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"138",64,0,0,0,0,16,0,20,"total.seagrass",-33.585465,115.2099283,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"139",24,0,0,0,0,56,0,20,"Unconsolidated",-33.58545833,115.209965,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"140",100,0,0,0,0,0,0,0,"total.seagrass",-33.58545167,115.21,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"141",100,0,0,0,0,0,0,0,"total.seagrass",-33.58543833,115.2100267,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"142",48,0,0,0,0,16,0,36,"total.seagrass",-33.58544,115.2100633,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"143",100,0,0,0,0,0,0,0,"total.seagrass",-33.58543833,115.2100967,"HPZ.3",-20,0.207265317440033,0.207265317440033,360,360,0,0.75,2,64
"144",100,0,0,0,0,0,0,0,"total.seagrass",-33.58543,115.2101267,"HPZ.3",-20,0.23521064221859,0.23521064221859,352.453125,352.453125,-0.125,0.875,3,64
"145",92,0,0,0,0,8,0,0,"total.seagrass",-33.585415,115.2101567,"HPZ.3",-20,0.23521064221859,0.23521064221859,352.453125,352.453125,-0.125,0.875,3,64
"146",84,0,0,0,0,12,0,4,"total.seagrass",-33.58540167,115.2101833,"HPZ.3",-20,0.23521064221859,0.23521064221859,352.453125,352.453125,-0.125,0.875,3,64
"147",64,32,0,0,0,4,0,0,"total.seagrass",-33.585385,115.21021,"HPZ.3",-20,0.23521064221859,0.23521064221859,352.453125,352.453125,-0.125,0.875,3,64
"148",48,0,0,0,0,0,0,52,"Macroalgae",-33.585375,115.210235,"HPZ.3",-20,0.23521064221859,0.23521064221859,352.453125,352.453125,-0.125,0.875,3,64
"149",92,0,0,0,0,8,0,0,"total.seagrass",-33.58536333,115.210265,"HPZ.3",-20,0.23521064221859,0.23521064221859,352.453125,352.453125,-0.125,0.875,3,64
"150",76,8,0,0,0,16,0,0,"total.seagrass",-33.58535,115.2102967,"HPZ.3",-20,0.23521064221859,0.23521064221859,352.453125,352.453125,-0.125,0.875,3,64
"151",28,12,0,0,0,40,4,16,"Unconsolidated",-33.58533667,115.2103317,"HPZ.3",-20,0.23521064221859,0.23521064221859,352.453125,352.453125,-0.125,0.875,3,64
