sample,latitude,longitude,Macroalgae,Turf.algae,Unconsolidated,Seagrasses,Sponges,Consolidated,Other,Max,Max_if_2_habitats_have_same
LGBDT1_0387,-33.5785,115.1164833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0389,-33.57843333,115.1165667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0394,-33.57825,115.1166833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0401,-33.57796667,115.1168167,0,37.5,0,62.5,0,0,0,Seagrasses,Seagrasses
LGBDT1_0409,-33.57768333,115.1170333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0411,-33.57758333,115.1170333,0,9.09,0,90.9,0,0,0,Seagrasses,Seagrasses
LGBDT1_0413,-33.57751667,115.1170333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0417,-33.57736667,115.1171333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0418,-33.57733333,115.1171333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0420,-33.57725,115.11715,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0431,-33.57685,115.11735,0,92.31,0,7.69,0,0,0,Turf.algae,Turf.algae
LGBDT1_0432,-33.57681667,115.1174,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0438,-33.57666667,115.1176333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0440,-33.57663333,115.1177333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0442,-33.57658333,115.1178167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0450,-33.57633333,115.1180167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0483,-33.57513333,115.11875,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0490,-33.57483333,115.1188333,0,33.33,0,66.67,0,0,0,Seagrasses,Seagrasses
LGBDT1_0492,-33.57476667,115.1189167,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT1_0499,-33.57451667,115.1191167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0501,-33.57446667,115.11915,14.29,0,0,85.72,0,0,0,Seagrasses,Seagrasses
LGBDT1_0506,-33.5743,115.1193333,0,16.67,0,83.34,0,0,0,Seagrasses,Seagrasses
LGBDT1_0518,-33.5739,115.1197,0,30.77,0,69.22,0,0,0,Seagrasses,Seagrasses
LGBDT1_0524,-33.5737,115.1198667,0,0,10,90,0,0,0,Seagrasses,Seagrasses
LGBDT1_0527,-33.57361667,115.11995,0,40,0,60,0,0,0,Seagrasses,Seagrasses
LGBDT1_0532,-33.57343333,115.12005,0,25,0,75,0,0,0,Seagrasses,Seagrasses
LGBDT1_0541,-33.5731,115.1202333,0,37.5,0,62.5,0,0,0,Seagrasses,Seagrasses
LGBDT1_0546,-33.57293333,115.12035,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT1_0549,-33.57285,115.12045,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT1_0552,-33.57273333,115.1204833,0,40,0,60,0,0,0,Seagrasses,Seagrasses
LGBDT1_0554,-33.57265,115.1205333,0,40,0,60,0,0,0,Seagrasses,Seagrasses
LGBDT1_0555,-33.57263333,115.12055,0,8.33,0,91.66,0,0,0,Seagrasses,Seagrasses
LGBDT1_0557,-33.57256667,115.12065,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0560,-33.5725,115.12075,0,9.09,9.09,81.81,0,0,0,Seagrasses,Seagrasses
LGBDT1_0570,-33.57215,115.1209667,0,0,40,60,0,0,0,Seagrasses,Seagrasses
LGBDT1_0571,-33.57211667,115.1209833,0,20,70,10,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0576,-33.57191667,115.1210833,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
LGBDT1_0590,-33.57143333,115.1212833,0,0,13.33,86.67,0,0,0,Seagrasses,Seagrasses
LGBDT1_0624,-33.5704,115.1220333,0,71.43,0,28.58,0,0,0,Turf.algae,Turf.algae
LGBDT1_0632,-33.5701,115.1221333,0,18.18,0,81.81,0,0,0,Seagrasses,Seagrasses
LGBDT1_0636,-33.56998333,115.1222167,0,0,7.14,92.86,0,0,0,Seagrasses,Seagrasses
LGBDT1_0639,-33.56986667,115.12225,0,50,0,50,0,0,0,Turf.algae,Seagrasses
LGBDT1_0651,-33.56946667,115.1224,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT1_0707,-33.56901667,115.12275,0,0,0,0,0,0,100,Other,Other
LGBDT1_0713,-33.56866667,115.1230333,0,0,0,0,0,0,100,Other,Other
LGBDT1_0726,-33.56835,115.1231667,0,0,0,0,0,0,100,Other,Other
LGBDT2_0051,-33.62603333,115.1483167,0,66.67,0,33.34,0,0,0,Turf.algae,Turf.algae
LGBDT2_0097,-33.6253,115.1492833,0,10,0,90,0,0,0,Seagrasses,Seagrasses
LGBDT2_0105,-33.62515,115.14945,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0118,-33.62486667,115.1497333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0118,-33.62488333,115.1497333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0127,-33.62468333,115.14995,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0141,-33.62438333,115.1503,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0148,-33.6242,115.1504833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0150,-33.62416667,115.1505333,0,9.09,0,90.91,0,0,0,Seagrasses,Seagrasses
LGBDT2_0157,-33.62403333,115.1507167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0180,-33.62351667,115.1511833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0186,-33.6234,115.1512833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0198,-33.62311667,115.1515167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0225,-33.62251667,115.1519667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0239,-33.6222,115.1522,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0246,-33.62205,115.1523333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0296,-33.62088333,115.1535833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0324,-33.62018333,115.1542,0,0,0,100.01,0,0,0,Seagrasses,Seagrasses
LGBDT2_0330,-33.62003333,115.1543,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0338,-33.61985,115.1545,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0348,-33.61965,115.1547333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0357,-33.61941667,115.1548833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0374,-33.619,115.1552833,22.22,0,0,77.78,0,0,0,Seagrasses,Seagrasses
LGBDT2_0376,-33.61895,115.1553,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0377,-33.61891667,115.1553167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0391,-33.61858333,115.1557333,0,0,0,100.01,0,0,0,Seagrasses,Seagrasses
LGBDT2_0393,-33.61855,115.1558,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0401,-33.6184,115.1560333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0411,-33.61815,115.15635,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_0415,-33.61805,115.1564833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0418,-33.61798333,115.1565667,0,0,0,100.01,0,0,0,Seagrasses,Seagrasses
LGBDT2_0420,-33.61791667,115.1566333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0422,-33.61785,115.1567167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0429,-33.61765,115.1569167,0,0,50,50.01,0,0,0,Seagrasses,Seagrasses
LGBDT2_0442,-33.61725,115.1572833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0458,-33.61681667,115.1577667,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_0460,-33.61676667,115.1578167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0464,-33.61663333,115.1579,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0464,-33.61665,115.1579,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0469,-33.6165,115.158,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0472,-33.61641667,115.1580667,0,0,70,30,0,0,0,Unconsolidated,Unconsolidated
LGBDT2_0476,-33.6163,115.1581667,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_0482,-33.61613333,115.1583,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0498,-33.61571667,115.15875,0,0,60,40,0,0,0,Unconsolidated,Unconsolidated
LGBDT2_0532,-33.61463333,115.15955,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0535,-33.61455,115.1596333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0544,-33.61428333,115.1597833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0547,-33.61418333,115.1598333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0554,-33.61398333,115.16,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0564,-33.61368333,115.1601667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0567,-33.6136,115.16025,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_0581,-33.61311667,115.1605333,0,0,5.56,94.46,0,0,0,Seagrasses,Seagrasses
LGBDT2_0589,-33.61281667,115.1607,0,0,25,75,0,0,0,Seagrasses,Seagrasses
LGBDT2_0591,-33.61276667,115.1607167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0601,-33.61245,115.1609333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0603,-33.61238333,115.161,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0612,-33.61208333,115.1611833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0613,-33.61205,115.1612,10,0,0,90,0,0,0,Seagrasses,Seagrasses
LGBDT2_0615,-33.61198333,115.1612833,0,0,33.33,66.66,0,0,0,Seagrasses,Seagrasses
LGBDT2_0620,-33.61186667,115.1613833,0,0,7.69,92.31,0,0,0,Seagrasses,Seagrasses
LGBDT2_0631,-33.6115,115.1617,0,0,7.69,92.3,0,0,0,Seagrasses,Seagrasses
LGBDT2_0634,-33.61141667,115.1617167,0,30,0,70,0,0,0,Seagrasses,Seagrasses
LGBDT2_0639,-33.61125,115.1618833,0,50,0,50,0,0,0,Turf.algae,Seagrasses
LGBDT2_0645,-33.61106667,115.16205,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0668,-33.61028333,115.1625,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0678,-33.60991667,115.1627,0,28.57,0,71.44,0,0,0,Seagrasses,Seagrasses
LGBDT2_0689,-33.60953333,115.16285,0,0,25,75,0,0,0,Seagrasses,Seagrasses
LGBDT2_0692,-33.60945,115.1629333,0,0,70.59,29.41,0,0,0,Unconsolidated,Unconsolidated
LGBDT2_0696,-33.60928333,115.1629833,0,0,37.5,62.5,0,0,0,Seagrasses,Seagrasses
LGBDT2_0807,-33.61105,115.1611167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0810,-33.61105,115.1611167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0811,-33.61105,115.1611167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0811,-33.61105,115.1611167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0813,-33.61103333,115.1611,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0813,-33.61103333,115.1611,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0816,-33.61101667,115.1611,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0826,-33.61055,115.1612833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0831,-33.61043333,115.1614667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0844,-33.61008333,115.1618,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0859,-33.60961667,115.1621667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0867,-33.60938333,115.1624,0,0,77.78,22.22,0,0,0,Unconsolidated,Unconsolidated
LGBDT2_0870,-33.6093,115.1625,0,0,28.57,71.43,0,0,0,Seagrasses,Seagrasses
LGBDT2_0885,-33.60893333,115.1630333,0,25,0,75,0,0,0,Seagrasses,Seagrasses
LGBDT2_0907,-33.6084,115.1636667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0932,-33.6076,115.1641167,0,0,10,90,0,0,0,Seagrasses,Seagrasses
LGBDT2_0953,-33.60698333,115.1646167,0,0,11.11,88.88,0,0,0,Seagrasses,Seagrasses
LGBDT2_0964,-33.60663333,115.1648167,0,0,28.57,71.43,0,0,0,Seagrasses,Seagrasses
LGBDT2_0971,-33.60641667,115.1649167,0,0,10,90,0,0,0,Seagrasses,Seagrasses
LGBDT2_0973,-33.60636667,115.1649667,0,0,40,60,0,0,0,Seagrasses,Seagrasses
LGBDT2_0975,-33.60631667,115.1650333,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
LGBDT2_0980,-33.60618333,115.16515,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_0983,-33.6061,115.1652333,0,10,0,90,0,0,0,Seagrasses,Seagrasses
LGBDT2_0985,-33.60605,115.1653,0,20,20,60,0,0,0,Seagrasses,Seagrasses
LGBDT2_0987,-33.606,115.16535,25,0,0,75,0,0,0,Seagrasses,Seagrasses
LGBDT2_1003,-33.60556667,115.1657667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1010,-33.60531667,115.1658167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1014,-33.6052,115.1658833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1016,-33.60513333,115.1659167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1049,-33.60413333,115.1664167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1063,-33.60376667,115.1667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1066,-33.60368333,115.1667667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1066,-33.60368333,115.1667667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1070,-33.6036,115.1668833,0,0,20,80,0,0,0,Seagrasses,Seagrasses
LGBDT2_1077,-33.60345,115.1670667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1082,-33.60333333,115.1671833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1092,-33.60305,115.1675333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1092,-33.60305,115.1675167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1114,-33.60258333,115.1683167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1123,-33.60241667,115.1686833,0,14.29,0,85.71,0,0,0,Seagrasses,Seagrasses
LGBDT2_1125,-33.60238333,115.1687667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1129,-33.6023,115.1689333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1138,-33.60213333,115.1692333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1179,-33.6019,115.1707333,0,0,10,90,0,0,0,Seagrasses,Seagrasses
LGBDT2_1184,-33.60191667,115.1709333,0,0,0,100.01,0,0,0,Seagrasses,Seagrasses
LGBDT2_1197,-33.60178333,115.1714167,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_1197,-33.6018,115.1714167,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_1234,-33.60168333,115.1729,0,10,0,90,0,0,0,Seagrasses,Seagrasses
LGBDT2_1260,-33.60135,115.1739333,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_1264,-33.6013,115.1740833,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_1281,-33.60105,115.1747667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1285,-33.60095,115.1749,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1293,-33.60078333,115.1752167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1300,-33.6007,115.1755,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1304,-33.60065,115.17565,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1311,-33.60053333,115.1759167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1319,-33.60036667,115.1762,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1327,-33.60023333,115.1765,0,50,0,50,0,0,0,Turf.algae,Seagrasses
LGBDT2_1344,-33.59983333,115.1770333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1348,-33.59975,115.1771833,0,77.78,0,22.22,0,0,0,Turf.algae,Turf.algae
LGBDT2_1357,-33.59951667,115.17745,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1361,-33.59943333,115.1775667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1366,-33.5993,115.1776833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1387,-33.59871667,115.1782333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1399,-33.59838333,115.1785,0,0,10,90,0,0,0,Seagrasses,Seagrasses
LGBDT2_1407,-33.5982,115.17875,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_1409,-33.59815,115.1788167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1411,-33.59811667,115.1788833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1440,-33.59745,115.1796833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1448,-33.59725,115.1798833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1483,-33.59651667,115.1809167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1495,-33.59625,115.18125,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1501,-33.59611667,115.1814,0,7.69,7.69,84.59,0,0,0,Seagrasses,Seagrasses
LGBDT2_1507,-33.59593333,115.1814833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1507,-33.59593333,115.1814833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1520,-33.59556667,115.1815167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1520,-33.59558333,115.1815167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1523,-33.59548333,115.1815333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1525,-33.5954,115.1815333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1525,-33.5954,115.1815333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1530,-33.59525,115.1815833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1534,-33.59513333,115.1816333,0,23.08,0,76.91,0,0,0,Seagrasses,Seagrasses
LGBDT2_1536,-33.59506667,115.1816,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT2_1562,-33.59428333,115.1817,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT2_1563,-33.59421667,115.1817,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT2_1563,-33.59423333,115.1817,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT2_1566,-33.59413333,115.1816833,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT2_1566,-33.59413333,115.1817,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT2_1569,-33.59408333,115.1816333,0,40,0,60,0,0,0,Seagrasses,Seagrasses
LGBDT2_1574,-33.5939,115.1816,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT2_1586,-33.59353333,115.1815333,0,40,0,60,0,0,0,Seagrasses,Seagrasses
LGBDT2_1588,-33.59346667,115.1815333,0,100,0,0,0,0,0,Turf.algae,Turf.algae
LGBDT2_1599,-33.59315,115.18145,0,9.09,0,90.9,0,0,0,Seagrasses,Seagrasses
LGBDT2_1615,-33.59263333,115.18135,0,20,0,80,0,0,0,Seagrasses,Seagrasses
LGBDT2_1616,-33.5926,115.1813333,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_1618,-33.59253333,115.1813167,0,45.45,0,54.54,0,0,0,Seagrasses,Seagrasses
LGBDT2_1632,-33.59208333,115.1813,0,20,0,80,0,0,0,Seagrasses,Seagrasses
LGBDT2_1642,-33.59176667,115.1814167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1646,-33.59165,115.18145,14.29,28.57,0,57.14,0,0,0,Seagrasses,Seagrasses
LGBDT2_1656,-33.59133333,115.18145,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1662,-33.59113333,115.1815333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1664,-33.59106667,115.1815333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1675,-33.59071667,115.18155,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1682,-33.5905,115.1815833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1684,-33.59043333,115.1815833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1688,-33.59031667,115.1816167,0,0,0,99.99,0,0,0,Seagrasses,Seagrasses
LGBDT2_1690,-33.59023333,115.1816167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1693,-33.59013333,115.1816,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1697,-33.59001667,115.1816167,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1699,-33.58995,115.1816333,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1706,-33.58971667,115.1817,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1710,-33.5896,115.1817667,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1714,-33.58946667,115.1818,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1716,-33.58941667,115.18185,0,0,0,100,0,0,0,Seagrasses,Seagrasses
LGBDT2_1718,-33.58935,115.1818833,0,0,0,100,0,0,0,Seagrasses,Seagrasses
