campaignid,sample,latitude,longitude,Macroalgae,Turf.algae,Stony.corals,Unconsolidated,Seagrasses,Sponges,Consolidated,Other,Max,Max_if_2_habitats_have_same
r20150526_024446_wa-gb-auv-01,PR_20150526_025558_032_FC16,-33.5724207,115.1960403,4,0,0,0,92,0,4,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025608_535_FC16,-33.5723222,115.1960455,40,0,0,48,12,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025619_038_FC16,-33.5722729,115.1959696,16,4,0,28,36,0,16,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025629_541_FC16,-33.5722903,115.1958435,20,0,0,40,36,0,0,4,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025640_045_FC16,-33.572275,115.1957091,8,0,0,28,60,0,4,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025650_549_FC16,-33.5722661,115.1955827,0,0,0,28,72,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025701_052_FC16,-33.5722636,115.1954626,0,0,0,56,44,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025711_556_FC16,-33.5722503,115.1953414,0,0,0,28,72,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025722_059_FC16,-33.5722375,115.1952211,20,0,0,24,56,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025732_563_FC16,-33.5722281,115.1951033,16,0,0,32,52,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025743_067_FC16,-33.5722166,115.1949839,16,0,0,36,40,0,8,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025753_573_FC16,-33.5722039,115.1948634,20,0,0,56,20,4,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025804_078_FC16,-33.5721921,115.1947426,48,0,0,16,32,0,4,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025814_583_FC16,-33.572183,115.1946225,40,8,0,8,40,0,4,0,Macroalgae,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025825_088_FC16,-33.5722318,115.1945455,52,28,0,4,0,4,12,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025835_594_FC16,-33.5723112,115.1945745,24,4,0,40,32,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025846_101_FC16,-33.5724121,115.1945792,13.64,9.09,0,31.82,40.91,0,4.55,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_025856_607_FC16,-33.5725179,115.1945792,52,4,0,20,16,0,8,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025907_113_FC16,-33.5726212,115.1945826,52,4,0,8,32,0,0,4,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025917_619_FC16,-33.572725,115.1945866,52,0,0,20,16,0,12,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025928_125_FC16,-33.5728262,115.1945816,48,0,0,12,28,0,8,4,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025938_631_FC16,-33.5729263,115.1945792,60,0,0,16,24,0,0,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_025949_136_FC16,-33.5730263,115.1945822,8,0,0,68,24,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_025959_641_FC16,-33.5731241,115.1945825,0,0,0,84,16,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030010_146_FC16,-33.5732245,115.1945785,12,0,0,60,28,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030020_650_FC16,-33.5733276,115.194581,12,0,0,60,28,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030031_155_FC16,-33.5734314,115.1945719,4.17,0,0,45.83,50,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030041_659_FC16,-33.5735367,115.194563,33.33,0,0,25,41.67,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030052_164_FC16,-33.5736394,115.1945614,0,0,0,88,8,0,4,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030102_669_FC16,-33.5737401,115.1945507,0,0,0,64,36,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030113_175_FC16,-33.5738423,115.1945454,0,0,0,56,44,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030123_681_FC16,-33.5739413,115.194538,0,0,0,60,36,0,0,4,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030134_186_FC16,-33.5740194,115.1944978,24,4,0,28,44,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030144_692_FC16,-33.5739937,115.1943845,8,4,0,28,60,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030155_197_FC16,-33.5739766,115.1942562,20,0,0,28,52,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030205_701_FC16,-33.5739597,115.1941302,0,0,0,28,72,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030216_206_FC16,-33.5739419,115.1940041,32,0,0,4,48,0,16,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030226_711_FC16,-33.5739204,115.1938805,0,16,0,52,32,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030237_216_FC16,-33.5739068,115.1937619,24,0,0,56,16,0,0,4,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030247_721_FC16,-33.5738901,115.1936437,4,0,0,56,40,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030258_226_FC16,-33.5738725,115.193523,12,0,0,32,56,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030308_730_FC16,-33.5738537,115.1934039,60,0,0,36,0,0,4,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_030319_234_FC16,-33.5738393,115.1932854,36,0,0,8,56,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030329_737_FC16,-33.5738234,115.193168,24,4,0,28,44,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030340_241_FC16,-33.5737756,115.1930953,44,0,0,24,32,0,0,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_030350_745_FC16,-33.5736904,115.1931319,8,24,0,40,28,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030401_248_FC16,-33.5735877,115.1931479,4,0,0,24,72,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030411_752_FC16,-33.5734866,115.1931617,12,44,0,36,8,0,0,0,Turf.algae,Turf.algae
r20150526_024446_wa-gb-auv-01,PR_20150526_030422_254_FC16,-33.5733856,115.1931804,4,0,0,0,96,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030432_757_FC16,-33.5732842,115.1931987,16,0,0,32,52,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030443_259_FC16,-33.5731834,115.1932148,20,0,0,32,48,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030453_763_FC16,-33.5730837,115.1932307,24,8,0,52,16,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030504_267_FC16,-33.5729861,115.1932485,32,8,0,20,36,0,4,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030514_771_FC16,-33.5728871,115.1932682,40,4,0,28,24,0,4,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_030525_276_FC16,-33.5727868,115.1932861,44,4,0,8,44,0,0,0,Macroalgae,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030535_781_FC16,-33.5726836,115.193298,12,12,0,56,20,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030546_287_FC16,-33.572585,115.193315,44,0,0,4,52,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030556_793_FC16,-33.5724866,115.1933361,52,36,0,4,8,0,0,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_030607_298_FC16,-33.5723853,115.1933465,40,0,0,24,36,0,0,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_030617_803_FC16,-33.5722875,115.1933609,4,0,0,72,24,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030628_308_FC16,-33.5721939,115.1933795,12,0,0,52,36,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030638_813_FC16,-33.5720936,115.1933969,0,4,0,60,36,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030649_319_FC16,-33.5719968,115.1933959,48,0,0,28,24,0,0,0,Macroalgae,Macroalgae
r20150526_024446_wa-gb-auv-01,PR_20150526_030659_823_FC16,-33.5719669,115.1933085,8,0,0,24,68,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030710_326_FC16,-33.5719711,115.1931812,16,0,0,40,40,0,4,0,Unconsolidated,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030720_830_FC16,-33.5719445,115.1930511,0,0,0,60,40,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030731_332_FC16,-33.5719221,115.1929268,8,0,0,24,64,0,0,4,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030741_835_FC16,-33.5719014,115.1928053,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030752_340_FC16,-33.5718797,115.1926813,0,0,0,8,88,0,4,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_030802_845_FC16,-33.5718634,115.1925582,4,0,0,64,32,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030813_349_FC16,-33.5718476,115.1924383,4,0,0,76,16,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030823_853_FC16,-33.5718313,115.1923173,0,0,0,96,4,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030834_356_FC16,-33.5718147,115.1921984,4,0,0,96,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030844_860_FC16,-33.5717986,115.1920792,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030855_364_FC16,-33.5717867,115.1919649,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030905_869_FC16,-33.571847,115.1919109,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030916_373_FC16,-33.5719353,115.1919516,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030926_878_FC16,-33.5720422,115.1919427,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030937_383_FC16,-33.5721518,115.1919452,0,0,0,92,8,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030947_888_FC16,-33.5722559,115.1919443,0,0,0,68,32,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_030958_394_FC16,-33.5723593,115.1919437,8,0,0,76,16,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031009_399_FC16,-33.5724684,115.1919385,0,4,0,52,44,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031019_904_FC16,-33.5725691,115.1919377,0,0,0,60,40,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031030_409_FC16,-33.572668,115.1919417,4,12,0,80,4,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031040_914_FC16,-33.5727707,115.1919503,0,0,0,20,80,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_031051_419_FC16,-33.5728727,115.1919533,28,0,0,40,32,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031101_924_FC16,-33.5729751,115.1919527,0,0,0,8,92,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_031112_429_FC16,-33.5730754,115.1919546,4,4,0,40,52,0,0,0,Seagrasses,Seagrasses
r20150526_024446_wa-gb-auv-01,PR_20150526_031122_934_FC16,-33.5731715,115.1919537,16,0,0,56,28,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031133_438_FC16,-33.5732696,115.1919481,0,0,0,84,16,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031143_943_FC16,-33.5733699,115.1919537,4,0,0,76,20,0,0,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031154_448_FC16,-33.5734715,115.1919653,4,0,0,52,36,0,8,0,Unconsolidated,Unconsolidated
r20150526_024446_wa-gb-auv-01,PR_20150526_031204_953_FC16,-33.5735698,115.1919634,8,0,0,36,56,0,0,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040523_584_FC16,-33.593088,115.2134519,0,0,0,0,0,0,0,100,Other,Other
r20150526_035926_wa-gb-auv-02,PR_20150526_040532_590_FC16,-33.5931007,115.2133865,0,0,0,0,0,0,0,100,Other,Other
r20150526_035926_wa-gb-auv-02,PR_20150526_040543_096_FC16,-33.5930976,115.2132937,0,0,0,0,0,0,0,100,Other,Other
r20150526_035926_wa-gb-auv-02,PR_20150526_040553_603_FC16,-33.5930838,115.2132,0,0,0,0,0,0,0,100,Other,Other
r20150526_035926_wa-gb-auv-02,PR_20150526_040604_110_FC16,-33.5930739,115.2130874,0,0,0,0,0,0,0,100,Other,Other
r20150526_035926_wa-gb-auv-02,PR_20150526_040614_617_FC16,-33.5930648,115.2129587,8,0,0,32,60,0,0,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040625_123_FC16,-33.5930468,115.2128189,88,0,0,0,0,0,12,0,Macroalgae,Macroalgae
r20150526_035926_wa-gb-auv-02,PR_20150526_040635_628_FC16,-33.5930341,115.2126935,60,24,0,12,0,4,0,0,Macroalgae,Macroalgae
r20150526_035926_wa-gb-auv-02,PR_20150526_040646_134_FC16,-33.5930195,115.2125757,80,0,4,0,0,4,12,0,Macroalgae,Macroalgae
r20150526_035926_wa-gb-auv-02,PR_20150526_040656_639_FC16,-33.5930069,115.2124581,72,24,0,4,0,0,0,0,Macroalgae,Macroalgae
r20150526_035926_wa-gb-auv-02,PR_20150526_040707_145_FC16,-33.5929926,115.2123341,28,36,0,28,8,0,0,0,Turf.algae,Turf.algae
r20150526_035926_wa-gb-auv-02,PR_20150526_040717_651_FC16,-33.592981,115.21222,20,72,0,8,0,0,0,0,Turf.algae,Turf.algae
r20150526_035926_wa-gb-auv-02,PR_20150526_040728_157_FC16,-33.5929717,115.2121043,4,8,0,24,64,0,0,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040738_662_FC16,-33.5929581,115.2119873,92,4,0,0,0,0,4,0,Macroalgae,Macroalgae
r20150526_035926_wa-gb-auv-02,PR_20150526_040749_168_FC16,-33.5929404,115.2118671,24,72,0,0,0,0,4,0,Turf.algae,Turf.algae
r20150526_035926_wa-gb-auv-02,PR_20150526_040759_674_FC16,-33.592927,115.2117465,56,4,0,32,8,0,0,0,Macroalgae,Macroalgae
r20150526_035926_wa-gb-auv-02,PR_20150526_040810_181_FC16,-33.5929143,115.2116207,0,12,0,36,52,0,0,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040820_689_FC16,-33.5928957,115.2114959,8,36,0,28,24,0,4,0,Turf.algae,Turf.algae
r20150526_035926_wa-gb-auv-02,PR_20150526_040831_197_FC16,-33.5928811,115.2113702,0,0,0,24,68,0,8,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040841_703_FC16,-33.5928659,115.2112462,0,0,0,76,24,0,0,0,Unconsolidated,Unconsolidated
r20150526_035926_wa-gb-auv-02,PR_20150526_040852_210_FC16,-33.5928551,115.2111236,0,0,0,44,52,0,4,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040902_717_FC16,-33.5928438,115.2110033,4,0,0,36,60,0,0,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040913_224_FC16,-33.5928295,115.210883,4,0,0,60,36,0,0,0,Unconsolidated,Unconsolidated
r20150526_035926_wa-gb-auv-02,PR_20150526_040923_731_FC16,-33.5928167,115.2107614,8,0,0,72,16,0,4,0,Unconsolidated,Unconsolidated
r20150526_035926_wa-gb-auv-02,PR_20150526_040934_238_FC16,-33.5928039,115.2106416,12,0,0,36,52,0,0,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040944_745_FC16,-33.5927925,115.2105227,0,0,0,44,56,0,0,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_040955_251_FC16,-33.5927791,115.2104044,0,0,0,40,60,0,0,0,Seagrasses,Seagrasses
r20150526_035926_wa-gb-auv-02,PR_20150526_041005_758_FC16,-33.5927689,115.2102854,4,0,0,56,40,0,0,0,Unconsolidated,Unconsolidated
r20150526_035926_wa-gb-auv-02,PR_20150526_041016_264_FC16,-33.5927567,115.2101667,0,0,0,68,28,0,4,0,Unconsolidated,Unconsolidated
r20150526_035926_wa-gb-auv-02,PR_20150526_041026_771_FC16,-33.5927429,115.2100462,40,20,0,16,20,0,4,0,Macroalgae,Macroalgae
r20150526_035926_wa-gb-auv-02,PR_20150526_041037_277_FC16,-33.5927297,115.209922,0,0,0,28,68,0,4,0,Seagrasses,Seagrasses
r20150526_050219_wa-gb-auv-03,PR_20150526_050904_039_FC16,-33.5809796,115.2264484,0,0,0,84,16,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_050914_543_FC16,-33.5808825,115.2264816,0,0,0,88,12,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_050925_048_FC16,-33.5807867,115.2265147,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_050935_552_FC16,-33.5806898,115.2265475,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_050946_056_FC16,-33.5805956,115.2265805,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_050956_561_FC16,-33.5805011,115.2266138,0,0,0,96,4,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051007_065_FC16,-33.5804071,115.226647,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051017_570_FC16,-33.5803137,115.226683,4,0,0,96,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051028_075_FC16,-33.5802204,115.2267196,8,0,0,92,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051038_580_FC16,-33.5801253,115.2267551,0,0,0,96,4,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051049_085_FC16,-33.5800295,115.2267883,8,0,0,48,44,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051059_591_FC16,-33.579931,115.2268262,32,0,0,68,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051110_096_FC16,-33.5798338,115.2268655,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051120_600_FC16,-33.5797368,115.2269048,4,0,0,64,32,0,0,0,Unconsolidated,Unconsolidated
r20150526_050219_wa-gb-auv-03,PR_20150526_051131_106_FC16,-33.5796363,115.2269365,0,0,0,100,0,0,0,0,Unconsolidated,Unconsolidated
